ID,URL,Title,Headline,Description,Author,Date
1,https://motherboard.vice.com/en_us/article/8xn4y4/sea-life-is-suffocating-in-a-dead-zone-the-size-of-new-jersey,DEAD ZONE,Sea Life Is Suffocating in a 'Dead Zone' the Size of New Jersey,Sea life could be unable to survive in thousands of miles of ocean.,CAROLINE HASKINS,8.3.17
2,https://motherboard.vice.com/en_us/article/zmxb73/watch-a-gopro-take-a-ride-through-an-electron-beam-irradiator,WILD RIDES,Watch a GoPro Take a Ride Through an Electron Beam Irradiator,"Shielded in lead and mounted on a conveyer cart, a GoPro braves the Mercury Plastic NeoBeam.",BECKY FERREIRA,8.3.17
3,https://motherboard.vice.com/en_us/article/59bma8/we-went-desert-off-roading-in-high-speed-dune-buggies,SPEED DAEMONS,We Went Desert Off-Roading in High-Speed Dune Buggies,Meet the people who build and race the world’s fastest dune-conquering vehicles.,MOTHERBOARD STAFF,8.3.17
4,https://motherboard.vice.com/en_us/article/mbeqw8/should-you-pull-a-baby-driver-and-use-music-to-drown-out-your-tinnitus,SOUNDTRACK TO YOUR LIFE,Should You Pull a 'Baby Driver' and Use Music to Drown Out Your Tinnitus?,"Tinnitus, the chronic ringing in your ears when no sound is present, can be extremely distressing.",KALEIGH ROGERS,8.3.17
5,https://motherboard.vice.com/en_us/article/ywdmkk/us-scientists-just-confirmed-theyve-genetically-modified-human-embryos,BRAVE NEW WORLD,US Scientists Just Confirmed They’ve Genetically Modified Human Embryos,"The researchers want to move onto clinical trials in humans and “monitor the birth of children.""",KATE LUNAU,8.3.17
6,https://motherboard.vice.com/en_us/article/gygxk9/the-dea-met-with-controversial-iphone-hackers-nso-group,SPYING,The DEA Met With Controversial iPhone Hackers NSO Group,"NSO Group's products have been linked to hacking attempts on journalists, activists, and dissidents.",JOSEPH COX,8.3.17
7,https://motherboard.vice.com/en_us/article/mbeq43/bitcoin-youre-doing-amazing-sweetie,BITCOIN,"Bitcoin, You’re Doing Amazing Sweetie",Despite the fork.,JORDAN PEARSON,8.3.17
8,https://motherboard.vice.com/en_us/article/vbe4e9/how-garry-kasparov-learned-to-stop-worrying-and-love-ai,COMPUTER CHESS,How Garry Kasparov Learned to Stop Worrying and Love AI,The first chess master to get pwned by an artificial intelligence isn’t worried about AI pwning humanity.,DANIEL OBERHAUS,8.3.17
9,https://motherboard.vice.com/en_us/article/mbeqqn/local-apps-are-letting-people-automate-brazils-notorious-bureaucracy,BRAZIL,Local Apps Are Letting People Automate Brazil’s Notorious Bureaucracy,"Residents spend over 2,000 hours, or over 80 days per person, just to file their taxes every year.",MARINA LOPES,8.3.17
10,https://motherboard.vice.com/en_us/article/a3d55b/does-my-body-die-if-my-brain-teleports-from-mars,TELEPORTATION,Does My Body Die If My Brain Teleports From Mars?,A toggle switch allows me to decide whether the ‘old me’ on Mars is preserved or destroyed after I teleport back home.,CHARLIE HUENEMANN,8.3.17
…,,,,,,
